"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1263","Two important questions after watching #BahuBali
1) Why did Kattappa kill Bahubali?
2) How did this movie become a hit?",FALSE,0,NA,2015-07-25 20:00:48,FALSE,NA,"625032974052929536",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","ShaikhAafaque",0,FALSE,FALSE,NA,NA
"1264","This make us really proud.. Isnt that ? #Bahubali #LoveForeva ÌÆ∏Ìº≥ http://t.co/sjaOvpNjGg",FALSE,0,NA,2015-07-25 20:00:07,FALSE,NA,"625032802929610752",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","kireeti1995j",0,FALSE,FALSE,NA,NA
"1265","Finally a good movie with a lot of stunts .... yay ! #Bahubali ;)",FALSE,1,NA,2015-07-25 19:59:56,FALSE,NA,"625032755932299265",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","swatsrid",0,FALSE,FALSE,NA,NA
"1266","Our INDIAN PRIDE movie #Baahubali #Bahubali #BaahubaliStorm @ssrajamouliRAJAMOULI""ManofSIMPLICITY""at icecream parlor http://t.co/stEilu9eVJ",FALSE,4,NA,2015-07-25 19:56:43,FALSE,NA,"625031946813353984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asiflion",0,FALSE,FALSE,NA,NA
"1267","watched #Bahubali got last 2 tickets left....
going again tomorrow wid family http://t.co/dBGrjo6zj8",FALSE,1,NA,2015-07-25 19:56:25,FALSE,NA,"625031871521394689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kaylashlalwani",0,FALSE,FALSE,NA,NA
"1268","Watching #Bahubali again. Roomies can't get enough of @RanaDaggubati and #Prabhas I'm the trivia supplier #telugu #telugupride #nakemtelidu",FALSE,4,NA,2015-07-25 19:54:28,FALSE,NA,"625031380913668096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","satyakandala",1,FALSE,FALSE,NA,NA
"1269","Just watched #bahubali!! 
Awesome movie!",FALSE,1,NA,2015-07-25 19:52:41,FALSE,NA,"625030933347864576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amir9518",0,FALSE,FALSE,NA,NA
"1270","@ssrajamouli Mistake #4: Ramya krishna ma'am and Naser sir were able to see entire war with Naked eye. #Bahubali",FALSE,0,"ssrajamouli",2015-07-25 19:15:44,FALSE,NA,"625021635494461440","136479128","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","me_salman148",0,FALSE,FALSE,NA,NA
"1271","@ssrajamouli Mistake #3: Movie stopped showing ""CGI"" mark after some time in the movie.
#Bahubali",FALSE,0,"ssrajamouli",2015-07-25 19:14:11,FALSE,NA,"625021243788406786","136479128","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","me_salman148",0,FALSE,FALSE,NA,NA
"1272","@ssrajamouli Mistake #2:Tamanna just kept 20% of her hand in water but when seen from under water it was more than 50% #Bahubali",FALSE,0,"ssrajamouli",2015-07-25 19:12:42,FALSE,NA,"625020871967555584","136479128","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","me_salman148",0,FALSE,FALSE,NA,NA
"1273","@ssrajamouli Mistake #1: I see no men in Kalakeyan(Black Army) with Bow and Arrow, then who shoot bahubali during the War?
#Bahubali",FALSE,0,"ssrajamouli",2015-07-25 19:09:45,FALSE,NA,"625020128380350464","136479128","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","me_salman148",1,FALSE,FALSE,NA,NA
"1274","@ssrajamouli Excellent work sir just hats-off, but i can't ignore the mistakes in the movie. #Bahubali",FALSE,0,"ssrajamouli",2015-07-25 19:07:29,FALSE,NA,"625019557665570816","136479128","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","me_salman148",0,FALSE,FALSE,NA,NA
"1275","@ssrajamouli Finally saw the #Bahubali for third time and loving it.",FALSE,1,"ssrajamouli",2015-07-25 19:04:59,FALSE,NA,"625018929648267264","136479128","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","me_salman148",0,FALSE,FALSE,NA,NA
"1276","One of the finest movie i have seen till now, the grandeur it attracts is simply outstanding.
#Bahubali 
#JaiMahismathi",FALSE,1,"petrolheadremix",2015-07-25 19:04:00,FALSE,"624991633797312513","625018680171061248","96303992","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","petrolheadremix",0,FALSE,FALSE,NA,NA
