"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1202","Extraordinary filmmaking by Rajamouli. Action scenes are executed intelligently -are on par with Lord of the rings and fury road.#Bahubali",FALSE,0,NA,2015-07-19 11:53:34,FALSE,NA,"622736031138250752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Le_MovieFanatic",0,FALSE,FALSE,NA,NA
"1203","nevsasaurehp : #Tollywood is soo amazing now. #Indian #GameofThrones  #Bahubali Watch here… http://t.co/lBz9x28B0X http://t.co/TzSUpwoWKR",FALSE,0,NA,2015-07-19 11:52:34,FALSE,NA,"622735778737688576",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ulricawashienko",0,FALSE,FALSE,NA,NA
"1204","@Madan_Chikna hahahahaha #Bahubali  got double the numbers than #BajrangiBhaijaan",FALSE,0,"Madan_Chikna",2015-07-19 11:51:50,FALSE,"622713193266200576","622735595580715008","62766520","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UrbanZameendar",0,FALSE,FALSE,NA,NA
"1205","Well Bahubali2 is a known story. He will defeat Sarena Williams at Wimbledon. 
#Bahubali",FALSE,0,NA,2015-07-19 11:50:50,FALSE,NA,"622735344312545280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shubhankar04",0,FALSE,FALSE,NA,NA
"1206","With so many movies releasing this month, I D K which is which:
#Bahubali
#Brothers
#BajrangiBhaijan",FALSE,1,NA,2015-07-19 11:50:34,FALSE,NA,"622735277321142272",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","I_Am_Hope2020",0,FALSE,FALSE,NA,NA
"1207","So many people have applauded #BajrangiBhaijaan that the first thing tomorrow morning, I would be going to watch #Bahubali.",FALSE,8,NA,2015-07-19 11:50:32,FALSE,NA,"622735267380662272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Humor_Donor",6,FALSE,FALSE,NA,NA
"1208","#Tollywood is soo amazing now. #Indian #GameofThrones  #Bahubali Watch here http://t.co/DDJO1b0GO4 http://t.co/B6iJM2Eho5",FALSE,0,NA,2015-07-19 11:49:34,FALSE,NA,"622735025772064768",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","nevsasaurehp",0,FALSE,FALSE,NA,NA
"1209","#Tollywood is soo amazing now. #Indian #GameofThrones  #Bahubali",FALSE,0,NA,2015-07-19 11:48:15,FALSE,NA,"622734692148604928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pranavbadola19",0,FALSE,FALSE,NA,NA
"1210","#Bahubali why it's so expensive?",FALSE,0,NA,2015-07-19 11:46:32,FALSE,NA,"622734260248580096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sufyanrizvi",0,FALSE,FALSE,NA,NA
"1211","I wish i can unseen #Bahubali  :(",FALSE,1,NA,2015-07-19 11:45:03,FALSE,NA,"622733888536719360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShahVritika",0,FALSE,FALSE,NA,NA
"1212","@LoTeckLad #bahubali is indeed a good entertainment. First half is slow. Second half is awesome!",FALSE,0,"LoTeckLad",2015-07-19 11:43:06,FALSE,"619517623152340992","622733396301643776","37611901","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Poulami716",0,FALSE,FALSE,NA,NA
"1213","I bow to ssrajamauli 4 creating a master peice,taking indian cinema 2 a new level,its a priviledge 2 watch sch a movie
#Bahubali",FALSE,0,NA,2015-07-19 11:43:03,FALSE,NA,"622733384687550464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shreyash84",0,FALSE,FALSE,NA,NA
"1214","@mblue875 @ssrajamouli @RanaDaggubati  #Bahubali . no he is not obliged. but please spare us from lies if they are lies",FALSE,0,"mblue875",2015-07-19 11:42:59,FALSE,"622717567203962880","622733366929059841","3370835141","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mlnsastry",0,FALSE,FALSE,NA,NA
"1215","@aamir_khan  ho jaye ,next movie me har har mahadev #bahubali #BajrangiBhaijaan #AamirKhan  pig http://t.co/W5o4rRrOzW",FALSE,1,"aamir_khan",2015-07-19 11:42:52,FALSE,NA,"622733337975615488","88856792","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rrksingh21",0,FALSE,FALSE,NA,NA
"1216","#Baahubali is currently the 11th highest grossing Indian film and 11th Indian film to gross over ₹3 billion. #wbotwit #Bahubali",FALSE,1,NA,2015-07-19 11:42:49,FALSE,NA,"622733326575468544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wboxoffice",0,FALSE,FALSE,NA,NA
"1217","#Baahubali is currently the highest grossing Indian film of 2015 and became the highest grossing Telugu of all time. #wbotwit #Bahubali",FALSE,0,NA,2015-07-19 11:39:40,FALSE,NA,"622732532732157952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wboxoffice",0,FALSE,FALSE,NA,NA
"1218","Watched #Bahubali today. Fantastic movie. Great competition to Hollywood monopoly on technology. Bravo",FALSE,0,NA,2015-07-19 11:36:59,FALSE,NA,"622731858745241600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SamitLive",1,FALSE,FALSE,NA,NA
"1219","V def cannot afford to""chill"".This is how our movies romanticises the idea of rape. http://t.co/dEX45fayBl #Bahubali http://t.co/HiBHUMrpbP",FALSE,6,NA,2015-07-19 11:36:33,FALSE,NA,"622731749663965184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mightyannamma",12,FALSE,FALSE,NA,NA
"1220","@annavetticad You may be sick(Some kind of mental disorder) or Jobless #Bahubali",FALSE,1,"annavetticad",2015-07-19 11:36:18,FALSE,NA,"622731686699270144","64526820","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Agni_tw",0,FALSE,FALSE,NA,NA
"1221","#Bahubali a movie India should be Proud of! A Boss Movie! #MustWatch",FALSE,0,NA,2015-07-19 11:34:06,FALSE,NA,"622731134170894336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I_Love_U_SRK",2,FALSE,FALSE,NA,NA
"1222","#Baahubali has grossed ₹3.03 billion ($48 million) worldwide against its shared budget with its sequel ₹2.5 billion ($40 million). #Bahubali",FALSE,4,NA,2015-07-19 11:33:53,FALSE,NA,"622731077795213312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wboxoffice",1,FALSE,FALSE,NA,NA
"1223","#Bahubali #Superstar #Thala #Version 
#Retweet if u agree http://t.co/uklXhaNMx5",FALSE,24,NA,2015-07-19 11:33:07,FALSE,NA,"622730886547570689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Trolly_wood",31,FALSE,FALSE,NA,NA
"1224","@KicchaSudeep 
great to see in #Bahubali
Heared u have main role in
#Bahubali_2 
excited to see..
#kannadiga",FALSE,0,"KicchaSudeep",2015-07-19 11:33:05,FALSE,NA,"622730877898874880","76591925","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","arvindhhcool",1,FALSE,FALSE,NA,NA
"1225","This is what happened to my Frnd watched #Bahubali  .....almost died......not worth my money http://t.co/tyytvj2D86",FALSE,0,NA,2015-07-19 11:30:10,FALSE,NA,"622730142599659520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ekaagar",0,FALSE,FALSE,NA,NA
"1226","#Bahubali part 2 teaser released #BajrangiBhaijaan #BaahubaliStorm #BigBrother http://t.co/f1K43bPx4u",FALSE,0,NA,2015-07-19 11:30:08,FALSE,NA,"622730135909707776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","linkinmind",1,FALSE,FALSE,NA,NA
"1227","Finally watched the epic called #Bahubali! What a movie! Now someone should dare a magnificent #Mahabharata series as well.",FALSE,8,NA,2015-07-19 11:28:58,FALSE,NA,"622729842602061825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ParinVShah",5,FALSE,FALSE,NA,NA
"1228","#Bahubali (Hindi) : 2nd Saturday Box Office Collections http://t.co/CKaZdkiwKJ http://t.co/mYO6WRuHjs",FALSE,11,NA,2015-07-19 11:27:52,FALSE,NA,"622729562242224130",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Koimoi",2,FALSE,FALSE,NA,NA
